developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
20180999REC,9315.2,,open-space-and-leisure,20180999-da,local-authority-eng:NLN,2020-10-29,2019-03-21,,/developer-agreement-contribution/local-authority-eng/NLN/20180999REC
20180999HW,2000,,highways,20180999-da,local-authority-eng:NLN,2020-10-29,2019-03-21,,/developer-agreement-contribution/local-authority-eng/NLN/20180999HW
20181021AH,,25,affordable-housing,20181021-da,local-authority-eng:NLN,2020-10-29,2019-09-27,,/developer-agreement-contribution/local-authority-eng/NLN/20181021AH
20181069AH,,54,affordable-housing,20181069-da,local-authority-eng:NLN,2020-10-29,2019-03-28,,/developer-agreement-contribution/local-authority-eng/NLN/20181069AH
20181069LE,30000,,open-space-and-leisure,20181069-da,local-authority-eng:NLN,2020-10-29,2019-03-28,,/developer-agreement-contribution/local-authority-eng/NLN/20181069LE
20181069REC,53669.4,,open-space-and-leisure,20181069-da,local-authority-eng:NLN,2020-10-29,2019-03-28,,/developer-agreement-contribution/local-authority-eng/NLN/20181069REC
20181247AH,,30,affordable-housing,20181247-da,local-authority-eng:NLN,2020-10-29,2019-01-09,,/developer-agreement-contribution/local-authority-eng/NLN/20181247AH
20181247REC,8010.2,,open-space-and-leisure,20181247-da,local-authority-eng:NLN,2020-10-29,2019-01-09,,/developer-agreement-contribution/local-authority-eng/NLN/20181247REC
20181363AH,,32,affordable-housing,20181363-da,local-authority-eng:NLN,2020-10-29,2019-03-19,,/developer-agreement-contribution/local-authority-eng/NLN/20181363AH
20181363REC,44588.7,,open-space-and-leisure,20181363-da,local-authority-eng:NLN,2020-10-29,2019-03-19,,/developer-agreement-contribution/local-authority-eng/NLN/20181363REC
20181388HW1,2000,,highways,20181388-da,local-authority-eng:NLN,2020-10-29,2019-07-01,,/developer-agreement-contribution/local-authority-eng/NLN/20181388HW1
20181388HW2,5000,,highways,20181388-da,local-authority-eng:NLN,2020-10-29,2019-07-01,,/developer-agreement-contribution/local-authority-eng/NLN/20181388HW2
20181389ED1,314726.4,,education,20181389-da,local-authority-eng:NLN,2020-10-29,2020-02-24,,/developer-agreement-contribution/local-authority-eng/NLN/20181389ED1
20181389ED2,314726.4,,education,20181389-da,local-authority-eng:NLN,2020-10-29,2020-02-24,,/developer-agreement-contribution/local-authority-eng/NLN/20181389ED2
20181389ED3,419635.2,,education,20181389-da,local-authority-eng:NLN,2020-10-29,2020-02-24,,/developer-agreement-contribution/local-authority-eng/NLN/20181389ED3
20181389AH1,,10,affordable-housing,20181389-da,local-authority-eng:NLN,2020-10-29,2020-02-24,,/developer-agreement-contribution/local-authority-eng/NLN/20181389AH1
20181389AH2,,10,affordable-housing,20181389-da,local-authority-eng:NLN,2020-10-29,2020-02-24,,/developer-agreement-contribution/local-authority-eng/NLN/20181389AH2
20181389AH3,,12,affordable-housing,20181389-da,local-authority-eng:NLN,2020-10-29,2020-02-24,,/developer-agreement-contribution/local-authority-eng/NLN/20181389AH3
20181389REC,113857.2,,open-space-and-leisure,20181389-da,local-authority-eng:NLN,2020-10-29,2020-02-24,,/developer-agreement-contribution/local-authority-eng/NLN/20181389REC
20181541AH,,16,affordable-housing,20181541-da,local-authority-eng:NLN,2020-10-29,2019-03-21,,/developer-agreement-contribution/local-authority-eng/NLN/20181541AH
20181581AH1,,6,affordable-housing,20181581-da,local-authority-eng:NLN,2020-10-29,2019-07-24,,/developer-agreement-contribution/local-authority-eng/NLN/20181581AH1
20181581AH2,,7,affordable-housing,20181581-da,local-authority-eng:NLN,2020-10-29,2019-07-24,,/developer-agreement-contribution/local-authority-eng/NLN/20181581AH2
20181581ED1,154483.2,,education,20181581-da,local-authority-eng:NLN,2020-10-29,2019-07-24,,/developer-agreement-contribution/local-authority-eng/NLN/20181581ED1
20181581ED2,154483.2,,education,20181581-da,local-authority-eng:NLN,2020-10-29,2019-07-24,,/developer-agreement-contribution/local-authority-eng/NLN/20181581ED2
20181581ED3,205997.6,,education,20181581-da,local-authority-eng:NLN,2020-10-29,2019-07-24,,/developer-agreement-contribution/local-authority-eng/NLN/20181581ED3
20181581REC,40876,,open-space-and-leisure,20181581-da,local-authority-eng:NLN,2020-10-29,2019-07-24,,/developer-agreement-contribution/local-authority-eng/NLN/20181581REC
20181581OS,34023.2,,open-space-and-leisure,20181581-da,local-authority-eng:NLN,2020-10-29,2019-07-24,,/developer-agreement-contribution/local-authority-eng/NLN/20181581OS
20181581LE,47500,,open-space-and-leisure,20181581-da,local-authority-eng:NLN,2020-10-29,2019-07-24,,/developer-agreement-contribution/local-authority-eng/NLN/20181581LE
20181583AH1,38203.2,,affordable-housing,20181583-da,local-authority-eng:NLN,2020-10-29,2019-02-08,,/developer-agreement-contribution/local-authority-eng/NLN/20181583AH1
20181583AH2,38203.2,,affordable-housing,20181583-da,local-authority-eng:NLN,2020-10-29,2019-02-08,,/developer-agreement-contribution/local-authority-eng/NLN/20181583AH2
20181583REC,8155.2,,recreation,20181583-da,local-authority-eng:NLN,2020-10-29,2019-02-08,,/developer-agreement-contribution/local-authority-eng/NLN/20181583REC
20181583LE,5000,,open-space-and-leisure,20181583-da,local-authority-eng:NLN,2020-10-29,2019-02-08,,/developer-agreement-contribution/local-authority-eng/NLN/20181583LE
20181716AH,,3,affordable-housing,20181716-da,local-authority-eng:NLN,2020-10-29,2020-02-06,,/developer-agreement-contribution/local-authority-eng/NLN/20181716AH
